REGION,Start,End,RSI,CATEGORY,TERM1PCT,TERM2PCT,TERM3PCT,TERM4PCT,AREA0,POP0,AREA1,POP1,AREA2,POP2,AREA3,POP3,AREA4,POP4,STORM_ID,REGION_CODE,YEAR,MONTH, 
National,2013-03-04,2013-03-09,0,0,0,0,0,0,957706,137131436,483018,81324436,194314,39764636,9475,4320436,605,626706,20130304_20130309_1,110,2013,3, 
Northeast,2013-03-04,2013-03-09,1.488,1,0.667,0.228,0.105,0,157479,58782782,47127,32051182,7572,6302482,307,343242,0,0,20130304_20130309_1,101,2013,3, 
Northern Rockies and Plains,2013-03-04,2013-03-09,1.155,1,0.505,0.419,0.075,0,235982,2937763,83760,578303,31290,229826,1326,5725,0,0,20130304_20130309_1,105,2013,3, 
Ohio Valley,2013-03-04,2013-03-09,2.586,1,0.48,0.49,0.03,0,244622,40709973,79474,20900273,38122,13070823,1009,28423,0,0,20130304_20130309_1,103,2013,3, 
South,2013-03-04,2013-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130304_20130309_1,104,2013,3, 
Southeast,2013-03-04,2013-03-09,1.66,1,0.444,0.226,0.239,0.091,68884,11706049,35614,5422259,13031,1361419,4334,464873,326,100372,20130304_20130309_1,104,2013,3, 
Upper Midwest,2013-03-04,2013-03-09,2.608,1,0.546,0.454,0,0,250301,22981970,132156,10383770,48520,4897370,0,0,0,0,20130304_20130309_1,102,2013,3, 
National,2013-02-25,2013-02-28,0,0,0,0,0,0,782649,60366416,371041,39298816,143880,14076416,19642,570216,528,15021,20130225_20130228_1,110,2013,2, 
Northeast,2013-02-25,2013-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130225_20130228_1,102,2013,2, 
Northern Rockies and Plains,2013-02-25,2013-02-28,0.023,0,1,0,0,0,76956,1787408,3055,25898,0,0,0,0,0,0,20130225_20130228_1,105,2013,2, 
Ohio Valley,2013-02-25,2013-02-28,1.95,1,0.411,0.419,0.169,0,157248,26527452,67452,10847452,41765,5378482,4180,141002,0,0,20130225_20130228_1,103,2013,2, 
South,2013-02-25,2013-02-28,6.441,3,0.182,0.257,0.329,0.231,207527,7658641,130830,5271971,74073,2704011,21535,382321,3132,69717,20130225_20130228_1,106,2013,2, 
Southeast,2013-02-25,2013-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130225_20130228_1,102,2013,2, 
Upper Midwest,2013-02-25,2013-02-28,2.023,1,0.66,0.313,0.027,0,167790,18901909,84298,13901199,20546,3211599,230,48269,0,0,20130225_20130228_1,102,2013,2, 
National,2013-02-20,2013-02-23,0,0,0,0,0,0,929173,66819679,628486,47943479,224816,7910579,23083,636309,384,2733,20130220_20130223_1,110,2013,2, 
Northeast,2013-02-20,2013-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130220_20130223_1,102,2013,2, 
Northern Rockies and Plains,2013-02-20,2013-02-23,2.512,1,0.481,0.516,0.003,0,197552,2811890,85519,1989609,33346,1100263,96,673,0,0,20130220_20130223_1,105,2013,2, 
Ohio Valley,2013-02-20,2013-02-23,1.125,1,0.553,0.438,0.009,0,183406,29715119,58745,7338519,31607,2093719,124,6479,0,0,20130220_20130223_1,103,2013,2, 
South,2013-02-20,2013-02-23,10.143,4,0.117,0.201,0.501,0.181,161688,6411550,138355,4980130,100395,2865770,39670,1452970,3892,84910,20130220_20130223_1,106,2013,2, 
Southeast,2013-02-20,2013-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130220_20130223_1,102,2013,2, 
Upper Midwest,2013-02-20,2013-02-23,2.022,1,0.918,0.082,0,0,239029,23284724,167867,14031394,9139,425694,0,0,0,0,20130220_20130223_1,102,2013,2, 
National,2013-02-07,2013-02-10,0,0,0,0,0,0,488227,104700570,256789,62626470,122633,42267770,38497,17722870,21247,11463600,20130207_20130210_1,110,2013,2, 
Northeast,2013-02-07,2013-02-10,9.04,3,0.185,0.189,0.593,0.033,174133,58806535,115329,40694035,52528,25881035,16202,9727135,192,49125,20130207_20130210_1,101,2013,2, 
Northern Plains and Rockies,2013-02-07,2013-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130207_20130210_1,104,2013,2, 
Ohio Valley,2013-02-07,2013-02-10,0.167,0,0.705,0.295,0,0,70028,18624720,2469,2817820,672,652160,0,0,0,0,20130207_20130210_1,103,2013,2, 
South,2013-02-07,2013-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130207_20130210_1,104,2013,2, 
Southeast,2013-02-07,2013-02-10,0.132,0,1,0,0,0,32847,5872910,6851,892190,0,0,0,0,0,0,20130207_20130210_1,104,2013,2, 
Upper Midwest,2013-02-07,2013-02-10,1.57,1,0.691,0.293,0.015,0,199157,21170282,69201,11244352,16327,2176552,105,21042,0,0,20130207_20130210_1,102,2013,2, 
National,2012-12-26,2012-12-28,0,0,0,0,0,0,812345,127961743,384304,60183543,176939,20083543,18576,1411143,528,21973,20121226_20121228_1,110,2012,12, 
Northeast,2012-12-26,2012-12-28,2.157,1,0.643,0.344,0.013,0,176516,59057229,135741,18684729,40948,3803929,211,9039,0,0,20121226_20121228_1,101,2012,12, 
Northern Plains and Rockies,2012-12-26,2012-12-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20121226_20121228_1,106,2012,12, 
Ohio Valley,2012-12-26,2012-12-28,1.793,1,0.6,0.395,0.004,0,241240,36219003,86509,15204203,32145,5393313,86,6393,0,0,20121226_20121228_1,103,2012,12, 
South,2012-12-26,2012-12-28,1.821,1,0.518,0.446,0.036,0,277680,14729145,88767,5127245,30723,1598155,557,16445,0,0,20121226_20121228_1,106,2012,12, 
Southeast,2012-12-26,2012-12-28,0.081,0,0.992,0.008,0,0,52326,8543044,3767,604114,19,2639,0,0,0,0,20121226_20121228_1,104,2012,12, 
Upper Midwest,2012-12-26,2012-12-28,0.471,0,0.909,0.091,0,0,26513,9044497,11685,6082527,730,287677,0,0,0,0,20121226_20121228_1,102,2012,12, 
National,2012-12-19,2012-12-22,0,0,0,0,0,0,1268539,139222492,656382,39989692,169097,9382292,8600,782792,105,23419,20121219_20121222_1,110,2012,12, 
Northeast,2012-12-19,2012-12-22,0.24,0,0.984,0.016,0,0,149243,45757032,24390,2690032,201,21932,0,0,0,0,20121219_20121222_1,101,2012,12, 
